index,chembl_id,smiles,ic50,mw
125,CHEMBL3765093,Cc1ccc2c(c1)C1(C(=O)N2)C(C#N)=C(N)N2CC(C)(C)CNC2=C1[N+](=O)[O-],14660,380.41
126,CHEMBL1242180,CN(C)c1ccc(/C=C/c2ccc3ccccc3[n+]2C)cc1.[I-],1600,416.31
127,CHEMBL4067639,C[n+]1c(/C=C/c2cc3ccccc3[nH]2)cc(N2CCOCC2)c2ccccc21.[I-],300,497.38
128,CHEMBL4059766,CCOC(=O)[C@@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1ccccc1,390,479.62
129,CHEMBL4089264,CCN(CCCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1OC,8900,394.52
130,CHEMBL3950130,CC(C)Cc1ccc(/C=C2\Oc3ccccc3C2=O)cc1,1020,278.35
131,CHEMBL106782,CCCNc1cc(NCCSCc2ccc(CN(C)C)o2)c([N+](=O)[O-])cc1[N+](=O)[O-],3800,437.52
132,CHEMBL385778,COc1ccc2c(c1)c1cc[n+](C)cc1n2C,20941.12,227.29
133,CHEMBL219400,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccccc1[N+](=O)[O-])CCCC3,4800,408.46
134,CHEMBL3338962,O=[N+]([O-])c1ccc(C2=Nn3c(nnc3-c3cccnc3)SC2)cc1,1090,338.35
135,CHEMBL310671,O=C1NS(=O)(=O)c2ccccc21,3600,183.19
136,CHEMBL335033,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,130,312.4
137,CHEMBL3361270,O=S(=O)(CCCN1CCN(Cc2ccccc2)CC1)NCCNc1cccc2ccccc12,2000,466.65
138,CHEMBL4217746,CCCCCCNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3,10.5,342.44
139,CHEMBL2425408,O=C1NC(=S)NC(=O)C1=CNNC(=S)Nc1ccccc1,57110,321.39
140,CHEMBL4164524,O=C(Nc1cc(Cl)nc(Cl)c1)OCCCCCNCc1ccccc1,4590,382.29
141,CHEMBL2064464,CN(CCC(=O)N1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1)C1CCCCC1,63.7,477.7
142,CHEMBL3586577,Cc1c(C)c2ccc(OCCCCCNCc3ccccc3)cc2oc1=O.Cl,950,401.93
143,CHEMBL174706,CO[C@@H]1C=CC[C@@H]2Oc3ccc(Br)cc3C(=O)[C@@]21C#N,730,334.17
144,CHEMBL3822890,Cc1ccccc1CN1CCC(C(=O)NCCc2c[nH]c3ccccc23)CC1,400,375.52
145,CHEMBL3823578,COc1ccc2[nH]cc(CCNC(=O)C3CCN(Cc4ccccc4C)CC3)c2c1,3010,405.54
146,CHEMBL4214951,CN(Cc1ccccc1)Cc1ccc(NC(=O)Cc2ccc(O)c(O)c2)cc1,950,376.46
147,CHEMBL4216806,CN(Cc1ccccc1)Cc1ccc(NC(=O)/C=C/c2ccc(O)c(O)c2)cc1,8010,388.47
148,CHEMBL4644284,COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@@H]1[N@](C2)C[C@H]3OC(=O)c1ccoc1,32000,425.44
149,CHEMBL4648132,COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@@H]1[N@](C2)C[C@H]3OC(=O)c1cccc2ccccc12,100,485.54
150,CHEMBL4634465,COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@@H]1[N@](C2)C[C@H]3OC(=O)c1ccccc1[N+](=O)[O-],2300,480.47
151,CHEMBL4635404,COc1cccc(C(=O)O[C@@H]2C[N@@]3Cc4c(cc5c(c4OC)OCO5)[C@@]24C=C[C@H](OC)C[C@H]34)c1,6000,465.5
152,CHEMBL4633343,COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@@H]1[N@](C2)C[C@H]3OC(=O)c1ccccc1,3800,435.48
153,CHEMBL99284,CN1CC[C@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3NC12,1745.5,323.4
154,CHEMBL4646747,COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@@H]1[N@](C2)C[C@H]3OC(=O)c1cccc([N+](=O)[O-])c1,81000,480.47
155,CHEMBL3764376,N#CC1=C(N)N2CCCNC2=C([N+](=O)[O-])C12C(=O)Nc1ccc(F)cc12,14710,356.32
156,CHEMBL3763820,CC1(C)CNC2=C([N+](=O)[O-])C3(C(=O)Nc4ccc([N+](=O)[O-])cc43)C(C#N)=C(N)N2C1,11870,411.38
157,CHEMBL3764679,Cc1ccc2c(c1)C1(C(=O)N2)C(C#N)=C(N)N2CCNC2=C1[N+](=O)[O-],16250,338.33
